,,,,,,,,,,,,,,,,80%,,,,,,,,,,0.5," 388,142 "," 387,973 "," 311,323 "," 388,142 ",80%
In-Tok,Out-Tok,RPS,PHR,TTFT,Prefill,L_TTFT,L_P95_TTFT,L_P98_TTFT,ITL,E2E,PPS,GPS,Run,MaxRun,Kvcache,MaxKvcache, ,GPS*ITL,PPS*PREFILL/IL,N,PPS/IL,GPS/OL,RUN/E2E,N/E2E,   ,Tokens load,C(R),C(MaxR),C(N),N(maxT),N%
5000,900,2,0,0.174,0.193,0.902,1.543,1.717,0.018,16.094,11076,1853,27.9,42.3,39.15%,59.49%,,33.276,0.429,33.705,2.215,2.058,1.733, 2.09 ,,5450," 388,190 "," 387,821 "," 308,451.37 ", 71.22 ,47.33%
5000,1000,2,0,0.188,0.162,1.170,3.230,4.105,0.021,20.658,11753,2126,34.9,54.0,49.39%,76.24%,,44.376,0.382,44.758,2.351,2.126,1.689, 2.17 ,,5500," 388,636 "," 389,573 "," 322,647.21 ", 70.57 ,63.42%
5000,1100,2,0,0.235,0.201,1.389,3.515,3.621,0.019,20.971,10473,2126,30.7,46.0,43.73%,65.25%,,39.895,0.422,40.317,2.095,1.933,1.463, 1.92 ,,5550," 389,491 "," 391,236 "," 342,545.77 ", 69.94 ,57.65%
5000,1200,2,0,0.188,0.164,1.048,2.046,2.386,0.020,24.389,9557,2146,35.5,55.0,51.08%,79.18%,,43.616,0.314,43.930,1.911,1.788,1.455, 1.80 ,,5600," 388,998 "," 389,011 "," 310,477.98 ", 69.31 ,63.38%
5000,1300,2,0,0.418,0.176,1.920,5.293,5.668,0.022,28.635,9894,2385,39.1,63.0,56.73%,91.13%,,52.110,0.348,52.457,1.979,1.834,1.367, 1.83 ,,5650," 389,842 "," 390,596 "," 324,982.27 ", 68.70 ,76.36%
5000,1400,2,0,1.825,0.193,2.260,6.503,7.786,0.025,35.468,9392,2441,46.1,69.3,67.39%,99.54%,,60.194,0.363,60.557,1.878,1.744,1.301, 1.71 ,,5700," 390,282 "," 397,017 "," 346,504.83 ", 68.10 ,88.93%
5000,1500,2,0,1.675,0.205,2.211,7.002,8.401,0.025,38.720,9991,2530,48.6,68.7,71.60%,99.76%,,64.204,0.411,64.614,1.998,1.686,1.256, 1.67 ,,5750," 390,682 "," 395,795 "," 372,129.91 ", 67.50 ,95.72%
5000,1600,2,0,1.366,0.186,1.588,5.124,6.067,0.024,39.494,8649,2556,46.3,66.3,68.74%,98.49%,,61.665,0.322,61.987,1.730,1.598,1.172, 1.57 ,,5800," 390,425 "," 390,622 "," 364,765.22 ", 66.92 ,92.63%
5000,1700,2,0,3.210,0.191,2.314,7.977,8.803,0.024,44.130,7828,2467,47.3,67.3,71.04%,99.92%,,60.019,0.298,60.318,1.566,1.451,1.073, 1.37 ,,5850," 389,852 "," 394,206 "," 352,877.95 ", 66.35 ,90.91%
5000,1800,2,0,3.267,0.193,1.931,6.041,6.875,0.024,46.484,7565,2546,45.8,67.0,69.16%,99.82%,,61.478,0.293,61.771,1.513,1.415,0.986, 1.33 ,,5900," 390,789 "," 395,996 "," 364,826.88 ", 65.79 ,93.90%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,300,2,0,0.158,0.145,0.847,1.288,1.440,0.011,3.488,12197,673,6.3,16.0,8.44%,21.53%,,7.505,0.354,7.860,2.439,2.243,1.816, 2.25 ,,5150," 386,298 "," 382,660 "," 187,722.77 ", 75.37 ,10.43%
5000,300,3,0,0.331,0.270,2.049,5.601,6.450,0.019,6.078,22496,1241,17.3,38.3,22.88%,50.68%,,23.771,1.213,24.985,4.499,4.138,2.849, 4.11 ,,5150," 389,760 "," 389,535 "," 253,528.58 ", 75.37 ,33.15%
5000,300,4,0,0.575,0.248,2.455,8.091,9.378,0.024,7.152,25250,1384,25.7,57.7,34.00%,76.56%,,33.311,1.251,34.563,5.050,4.612,3.589, 4.83 ,,5150," 388,855 "," 387,906 "," 232,246.95 ", 75.37 ,45.86%
5000,300,5,0,2.004,0.945,5.456,12.104,13.997,0.037,13.114,39891,2205,35.1,73.3,46.15%,96.28%,,81.043,7.538,88.581,7.978,7.349,2.673, 6.75 ,,5150," 391,238 "," 392,274 "," 472,664.39 ", 75.37 ,117.53%
5000,300,6,0,3.524,1.003,11.071,24.912,26.628,0.039,15.281,50632,2758,39.9,74.7,52.41%,98.46%,,107.988,10.160,118.148,10.126,9.193,2.610, 7.73 ,,5150," 391,917 "," 390,553 "," 616,440.36 ", 75.37 ,156.76%
5000,300,7,0,6.353,0.959,10.113,18.274,19.245,0.050,20.949,41305,2248,57.2,75.7,75.70%,99.69%,,112.339,7.922,120.262,8.261,7.493,2.731, 5.74 ,,5150," 389,195 "," 390,896 "," 620,084.01 ", 75.37 ,159.57%
