target_IL,target_OL,target_RPS,experiment_IL,experiment_OL,max_sustainable_rps,instances_needed,capacity_per_instance,total_capacity,test_name,scenario
12000.0,100.0,5.2,6000.0,100.0,5.2,1,5.2,5.2,6K_100,vary_IL
200.0,1000.0,10.0,200.0,1000.0,20.0,1,20.0,20.0,200_1K,vary_RPS
200.0,1000.0,20.0,200.0,1000.0,20.0,1,20.0,20.0,200_1K,vary_RPS
200.0,1000.0,30.0,200.0,1000.0,20.0,2,20.0,40.0,200_1K,vary_RPS
200.0,1000.0,40.0,200.0,1000.0,20.0,2,20.0,40.0,200_1K,vary_RPS
200.0,1000.0,60.0,200.0,1000.0,20.0,3,20.0,60.0,200_1K,vary_RPS
200.0,500.0,20.0,200.0,1000.0,20.0,1,20.0,20.0,200_1K,vary_OL
200.0,1000.0,20.0,200.0,1000.0,20.0,1,20.0,20.0,200_1K,vary_OL
200.0,1500.0,20.0,200.0,1000.0,20.0,1,20.0,20.0,200_1K,vary_OL
200.0,2000.0,20.0,200.0,1000.0,20.0,1,20.0,20.0,200_1K,vary_OL
100.0,1000.0,20.0,200.0,1000.0,20.0,1,20.0,20.0,200_1K,vary_IL
200.0,1000.0,20.0,200.0,1000.0,20.0,1,20.0,20.0,200_1K,vary_IL
300.0,1000.0,20.0,200.0,1000.0,20.0,1,20.0,20.0,200_1K,vary_IL
400.0,1000.0,20.0,200.0,1000.0,20.0,1,20.0,20.0,200_1K,vary_IL
4000.0,100.0,4.0,4000.0,100.0,8.0,1,8.0,8.0,4K_100,vary_RPS
4000.0,100.0,8.0,4000.0,100.0,8.0,1,8.0,8.0,4K_100,vary_RPS
4000.0,100.0,12.0,4000.0,100.0,8.0,2,8.0,16.0,4K_100,vary_RPS
4000.0,100.0,16.0,4000.0,100.0,8.0,2,8.0,16.0,4K_100,vary_RPS
4000.0,100.0,24.0,4000.0,100.0,8.0,3,8.0,24.0,4K_100,vary_RPS
4000.0,50.0,8.0,4000.0,100.0,8.0,1,8.0,8.0,4K_100,vary_OL
4000.0,100.0,8.0,4000.0,100.0,8.0,1,8.0,8.0,4K_100,vary_OL
4000.0,150.0,8.0,4000.0,100.0,8.0,1,8.0,8.0,4K_100,vary_OL
4000.0,200.0,8.0,4000.0,100.0,8.0,1,8.0,8.0,4K_100,vary_OL
2000.0,100.0,8.0,4000.0,100.0,8.0,1,8.0,8.0,4K_100,vary_IL
4000.0,100.0,8.0,4000.0,100.0,8.0,1,8.0,8.0,4K_100,vary_IL
6000.0,100.0,8.0,4000.0,100.0,8.0,1,8.0,8.0,4K_100,vary_IL
8000.0,100.0,8.0,4000.0,100.0,8.0,1,8.0,8.0,4K_100,vary_IL
400.0,400.0,20.0,400.0,400.0,40.0,1,40.0,40.0,400_400,vary_RPS
400.0,400.0,40.0,400.0,400.0,40.0,1,40.0,40.0,400_400,vary_RPS
400.0,400.0,60.0,400.0,400.0,40.0,2,40.0,80.0,400_400,vary_RPS
400.0,400.0,80.0,400.0,400.0,40.0,2,40.0,80.0,400_400,vary_RPS
400.0,400.0,120.0,400.0,400.0,40.0,3,40.0,120.0,400_400,vary_RPS
400.0,200.0,40.0,400.0,400.0,40.0,1,40.0,40.0,400_400,vary_OL
400.0,400.0,40.0,400.0,400.0,40.0,1,40.0,40.0,400_400,vary_OL
400.0,600.0,40.0,400.0,400.0,40.0,1,40.0,40.0,400_400,vary_OL
400.0,800.0,40.0,400.0,400.0,40.0,1,40.0,40.0,400_400,vary_OL
200.0,400.0,40.0,400.0,400.0,40.0,1,40.0,40.0,400_400,vary_IL
400.0,400.0,40.0,400.0,400.0,40.0,1,40.0,40.0,400_400,vary_IL
600.0,400.0,40.0,400.0,400.0,40.0,1,40.0,40.0,400_400,vary_IL
800.0,400.0,40.0,400.0,400.0,40.0,1,40.0,40.0,400_400,vary_IL
20.0,1600.0,2.5,20.0,1600.0,5.0,1,5.0,5.0,20_2-3K,vary_RPS
20.0,1600.0,5.0,20.0,1600.0,5.0,1,5.0,5.0,20_2-3K,vary_RPS
20.0,1600.0,7.5,20.0,1600.0,5.0,2,5.0,10.0,20_2-3K,vary_RPS
20.0,1600.0,10.0,20.0,1600.0,5.0,2,5.0,10.0,20_2-3K,vary_RPS
20.0,1600.0,15.0,20.0,1600.0,5.0,3,5.0,15.0,20_2-3K,vary_RPS
20.0,800.0,5.0,20.0,1600.0,5.0,1,5.0,5.0,20_2-3K,vary_OL
20.0,1600.0,5.0,20.0,1600.0,5.0,1,5.0,5.0,20_2-3K,vary_OL
20.0,2400.0,5.0,20.0,1600.0,5.0,1,5.0,5.0,20_2-3K,vary_OL
20.0,3200.0,5.0,20.0,1600.0,5.0,1,5.0,5.0,20_2-3K,vary_OL
10.0,1600.0,5.0,20.0,1600.0,5.0,1,5.0,5.0,20_2-3K,vary_IL
20.0,1600.0,5.0,20.0,1600.0,5.0,1,5.0,5.0,20_2-3K,vary_IL
30.0,1600.0,5.0,20.0,1600.0,5.0,1,5.0,5.0,20_2-3K,vary_IL
40.0,1600.0,5.0,20.0,1600.0,5.0,1,5.0,5.0,20_2-3K,vary_IL
5000.0,20.0,2.5,5000.0,20.0,5.0,1,5.0,5.0,5-8K_20,vary_RPS
