IL,OL,RPS,test_name,TTFT,Prefill,L_TTFT,L_P95_TTFT,L_P98_TTFT,ITL,E2E,PPS,GPS,Run,MaxRun,Kvcache,MaxKvcache,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,phi,rho,T_prefill,g_dITL_dRPS,h_drho_dRPS,g_acceleration,cond1_service_degradation,h_acceleration,cond2_prefill_interference,cond3_queueing,is_saturated,sqrt_OL,rho_ratio,regime
1000.0,10.0,32.0,1K_10,0.121759248,0.094578763,0.137851118,0.324784529,0.407546887,0.034836408,0.434497442,34130.6093,319.5438596,11.87777778,45.33333333,0.031301304,0.119550039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2472509852336098,3.4951722921605466,0.08692284,0.0037214479999999987,-0.06461919137354477,,False,,False,True,False,3.1622776601683795,1.1052705257938804,scheduler-limited
1000.0,10.0,34.0,1K_10,0.142309343,0.110261536,0.155989404,0.341674383,0.41727155,0.042279304,0.523227313,36066.105,338.1333333,16.22222222,47.33333333,0.042748778,0.124825446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.237549494665286,3.365933909413457,0.10003003900000002,0.006924762000000001,-0.07579438250528236,0.0032033140000000022,True,-0.011175191131737594,False,True,False,3.1622776601683795,1.0644017607341392,scheduler-limited
1000.0,10.0,36.0,1K_10,0.199612848,0.151792735,0.216226866,0.464851765,0.551025632,0.062535456,0.759724976,38593.74,361.2483333,19.87301587,66.0,0.052393267,0.174010861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.214870770271508,3.191994762139417,0.13707739200000002,0.016426662,-0.08040717550254572,0.0095019,True,-0.00461279299726336,False,True,False,3.1622776601683795,1.0093973727687957,scheduler-limited
1000.0,10.0,38.0,1K_10,0.328742196,0.248657525,0.349002255,0.751835648,0.880220876,0.107985952,1.301642109,40787.93833,382.2383333,40.46031746,132.6666667,0.106645979,0.349650892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2053809638127748,3.044305207403274,0.220756244,0.03526573925,-0.04172328552961002,0.018839077249999996,True,0.0386838899729357,False,True,False,3.1622776601683795,0.9626938348105638,scheduler-limited
1000.0,10.0,40.0,1K_10,0.615905889,0.444640345,0.641777406,1.31990848,1.495471608,0.203598413,2.439569901,42530.47333,396.8433333,81.61904762,181.0,0.215146478,0.476984743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1982263835229403,3.025101620020977,0.41230747599999995,0.093335915,0.0125886222802154,0.05807017575000001,True,0.05431190780982542,True,True,True,3.1622776601683795,0.9566211272731509,scheduler-limited
1000.0,10.0,42.0,1K_10,1.489551351,1.019347648,1.549743437,2.656120706,2.840378311,0.481329612,5.762728358,43388.41667,400.3816667,201.0793651,312.0,0.530051597,0.822498061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1972519899731413,3.0946596965241358,1.0082217390000001,0.13514101525,0.4820358952095525,0.04180510024999999,True,0.4694472729293371,True,True,True,3.1622776601683795,0.978617322414173,scheduler-limited
1000.0,10.0,44.0,1K_10,3.686019203,1.524860729,3.892113699,6.703135149,7.122682203,0.744162474,10.20496561,43436.5,399.6966667,298.7460317,363.0,0.787517086,0.957331265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37133569167316,4.953245200859187,2.941856729,0.07501563,0.9960597792142,-0.060125385249999996,False,0.5140238840046475,True,True,False,3.1622776601683795,1.5663536644013243,scheduler-limited
1000.0,10.0,46.0,1K_10,5.531395836,1.612516903,5.743265648,9.378579883,9.577873697,0.781392132,12.47459483,43694.93,402.3933333,319.2380952,365.6666667,0.841590011,0.96449444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5964576963516186,7.078898813380936,4.750003704,0.018614829,1.0628268062608743,-0.056400801,False,0.06676702704667437,True,True,False,3.1622776601683795,2.238544357614698,prefill-limited
