IL,OL,RPS,test_name,TTFT,Prefill,L_TTFT,L_P95_TTFT,L_P98_TTFT,ITL,E2E,PPS,GPS,Run,MaxRun,Kvcache,MaxKvcache,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,phi,rho,T_prefill,g_dITL_dRPS,h_drho_dRPS,g_acceleration,cond1_service_degradation,h_acceleration,cond2_prefill_interference,cond3_queueing,is_saturated,sqrt_OL,rho_ratio,regime
4000.0,20.0,2.0,4K_20,0.118692198,0.108465311,0.139346462,0.234271258,0.271597624,0.009087258,0.290939936,7977.628947,37.37368421,0.275,2.0,0.002852987,0.020752521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6008125663428945,13.061387494445517,0.10960494,0.0023619589999999985,-1.113075221213208,,False,,False,True,False,4.47213595499958,2.920615031804583,prefill-limited
4000.0,20.0,3.0,4K_20,0.13679882,0.119413387,0.155220791,0.295087469,0.366034458,0.011449217,0.353941798,12922.89474,60.58421053,0.75,3.5,0.007783165,0.036268425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5457030729699681,11.94831227323231,0.12534960299999998,0.0023853675,-1.108621409619471,2.3408500000001407e-05,True,0.004453811593736923,False,True,False,4.47213595499958,2.6717238459342485,prefill-limited
4000.0,20.0,4.0,4K_20,0.150278081,0.129333666,0.172264644,0.340172708,0.433724062,0.013857993,0.413303145,16906.81316,79.30789474,1.15,6.0,0.011962762,0.062296354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4912085213205113,10.844144675206575,0.136420088,0.0038023330000000006,-1.4523855347918442,0.0014169655000000007,True,-0.3437641251723731,False,True,False,4.47213595499958,2.424824465160428,prefill-limited
4000.0,20.0,5.0,4K_20,0.172314576,0.143261942,0.191265152,0.398888862,0.488356504,0.019053883,0.5338065,20927.11987,98.18421053,3.161904762,13.5,0.032851509,0.14030256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4007814050290956,9.043541203648621,0.153260693,0.007891639999999998,-1.561880840429735,0.004089306999999998,True,-0.1094953056378909,False,True,False,4.47213595499958,2.0221972888678583,prefill-limited
4000.0,20.0,6.0,4K_20,0.22884198,0.182639134,0.250463317,0.564072073,0.757954323,0.029641273,0.791164366,25906.135,121.2175,3.928571429,16.5,0.040799438,0.171373157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.334565431788304,7.720382994347105,0.199200707,0.013546983499999998,-0.971949288372004,0.0056553435,True,0.5899315520577311,False,True,False,4.47213595499958,1.72633011876935,scheduler-limited
4000.0,20.0,7.0,4K_20,0.327633243,0.251177814,0.345604833,0.868009984,1.387001312,0.04614785,1.203893677,30134.64618,140.8540789,6.338095238,25.5,0.065861687,0.264662529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3043876117738964,7.099642626904613,0.28148539300000003,0.021468706000000004,-1.0936974500576535,0.007921722500000006,True,-0.1217481616856495,False,True,False,4.47213595499958,1.587528352971389,scheduler-limited
4000.0,20.0,8.0,4K_20,0.401577,0.301907107,0.426659959,1.020221114,1.214289236,0.072578685,1.779040028,32956.73,154.0775,11.5952381,41.5,0.120503159,0.431303336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.225594007386604,5.532988094231798,0.328998315,0.09108081650000001,-1.4744233130109494,0.0696121105,True,-0.3807258629532959,False,True,False,4.47213595499958,1.2372137497399311,scheduler-limited
4000.0,20.0,9.0,4K_20,0.947666089,0.648069773,0.974346502,2.23097713,2.756975498,0.228309483,5.272769369,38774.105,179.5875,42.57142857,95.0,0.442471092,0.987820016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1547416471088938,4.150796000882714,0.7193566060000001,0.18988414850000002,1.8370975592496763,0.09880333200000001,True,3.3115208722606257,True,True,True,4.47213595499958,0.9281462018708025,scheduler-limited
4000.0,20.0,10.0,4K_20,4.164841539,0.980981893,4.282660493,7.4865255,7.773554254,0.452346982,12.55868803,40509.62,186.0225,86.11904762,95.0,0.895481917,0.988169123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3881697601333838,9.20718321273115,3.7124945570000003,0.224037499,5.0563872118484365,0.034153350499999985,True,3.21928965259876,True,True,True,4.47213595499958,2.058788754496176,prefill-limited
