IL,OL,RPS,test_name,TTFT,Prefill,L_TTFT,L_P95_TTFT,L_P98_TTFT,ITL,E2E,PPS,GPS,Run,MaxRun,Kvcache,MaxKvcache,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,phi,rho,T_prefill,g_dITL_dRPS,h_drho_dRPS,g_acceleration,cond1_service_degradation,h_acceleration,cond2_prefill_interference,cond3_queueing,is_saturated,sqrt_OL,rho_ratio,regime
5000.0,20.0,5.0,5-8K_20,0.297831502,0.231922289,0.324527884,0.749917221,0.908451052,0.038151442,1.022417144,26559.16303,99.63947368,4.253571429,18.0,0.055182035,0.233165244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3399456093953146,7.80655950042465,0.25968006000000005,0.0,0.0,,False,,False,True,False,4.47213595499958,1.7455997713346316,scheduler-limited
5500.0,20.0,5.0,5-8K_20,0.39581621,0.304574783,0.416535931,0.993773866,1.204976001,0.056189638,1.457972639,29516.29,100.175,4.785714286,22.5,0.068251505,0.32102405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2973678874741996,7.044291867479196,0.339626572,0.0,0.0,0.0,False,0.0,False,True,False,4.47213595499958,1.5751515469032422,scheduler-limited
6000.0,20.0,5.0,5-8K_20,0.555864751,0.420828631,0.576999027,1.488117689,1.954816201,0.088023763,2.224004456,31154.87987,96.80421053,9.202380952,38.5,0.143141324,0.598836307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2632977619918382,6.314939648740079,0.46784098799999996,0.0,0.0,0.0,False,0.0,False,True,False,4.47213595499958,1.4120634328391461,scheduler-limited
6500.0,20.0,5.0,5-8K_20,0.91137744,0.659130469,0.952249378,2.36583727,2.836031439,0.175013701,4.233706761,34671.14,99.23,18.52380952,57.0,0.312203997,0.960822343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20953580685663,5.207463385966565,0.736363739,0.0,0.0,0.0,False,0.0,False,True,False,4.47213595499958,1.1644242121362463,scheduler-limited
7000.0,20.0,5.0,5-8K_20,1.700533535,0.945142786,1.75155904,4.352978373,4.938951018,0.28201572,6.906443417,36369.1575,95.4025,29.5952381,54.5,0.536820717,0.988983708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.224478446981608,6.029924626187504,1.418517815,0.0,0.0,0.0,False,0.0,False,True,False,4.47213595499958,1.3483321363355267,scheduler-limited
7500.0,20.0,5.0,5-8K_20,5.557345348,1.389462245,5.657717487,9.401661992,9.847557435,0.410487155,13.10065363,37675.88012,92.33130952,40.18939394,51.0,0.780055934,0.991660202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.595744650036613,13.538414735535392,5.146858193,0.0,0.0,0.0,False,0.0,False,True,False,4.47213595499958,3.027281565624197,prefill-limited
8000.0,20.0,5.0,5-8K_20,10.30354341,1.251213581,10.57710607,19.85962476,20.48619597,0.480044577,18.90904795,37828.92143,86.88971861,44.8270751,48.0,0.929183315,0.995733126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.969509588898033,21.463722128455583,9.823498833,0.0,0.0,0.0,False,0.0,False,True,False,4.47213595499958,4.799434172939315,prefill-limited
